downloaded from http://massey.dur.ac.uk/drf/HD_He/He-HD.rate_coefficients
HD - He (Roueff, E. & Zeippen, C.J., 1999, A&A, 343, 1005)

       J       E(K)
   1.0    2.135D-10 0.000D+00 1.136D-10 2.647D-11 1.326D-11 5.442D-12 2.222D-12 9.842D-13 3.990D-13 1.842D-13
   2.0    6.213D-11 1.581D-10 0.000D+00 1.174D-10 2.734D-11 1.234D-11 5.115D-12 2.086D-12 8.732D-13 3.932D-13
   3.0    3.793D-11 3.942D-11 1.256D-10 0.000D+00 1.133D-10 2.626D-11 1.067D-11 4.436D-12 1.754D-12 7.672D-13
   4.0    1.311D-11 1.780D-11 2.636D-11 1.021D-10 0.000D+00 1.057D-10 2.452D-11 9.154D-12 3.730D-12 1.516D-12
   5.0    4.329D-12 5.750D-12 9.369D-12 1.863D-11 8.323D-11 0.000D+00 9.667D-11 2.249D-11 7.898D-12 3.130D-12
   6.0    1.350D-12 1.647D-12 2.724D-12 5.312D-12 1.354D-11 6.782D-11 0.000D+00 8.706D-11 2.042D-11 6.856D-12
   7.0    3.652D-13 4.620D-13 7.037D-13 1.398D-12 3.202D-12 9.992D-12 5.514D-11 0.000D+00 7.881D-11 1.927D-11
   8.0    8.555D-14 1.081D-13 1.700D-13 3.191D-13 7.533D-13 2.026D-12 7.469D-12 4.550D-11 0.000D+00 7.218D-11
   9.0    2.135D-14 2.649D-14 4.062D-14 7.406D-14 1.624D-13 4.259D-13 1.330D-12 5.901D-12 3.829D-11 0.000D+00

   temperature cinetique=  1440.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.836D-11 1.638D-11 9.393D-12 3.620D-12 1.525D-12 6.818D-13 2.932D-13 1.196D-13 5.687D-14
   1.0    2.150D-10 0.000D+00 1.144D-10 2.670D-11 1.344D-11 5.547D-12 2.276D-12 1.015D-12 4.136D-13 1.930D-13
   2.0    6.271D-11 1.596D-10 0.000D+00 1.183D-10 2.764D-11 1.255D-11 5.227D-12 2.145D-12 9.026D-13 4.107D-13
   3.0    3.863D-11 4.002D-11 1.270D-10 0.000D+00 1.143D-10 2.659D-11 1.087D-11 4.546D-12 1.807D-12 7.984D-13
   4.0    1.348D-11 1.825D-11 2.688D-11 1.035D-10 0.000D+00 1.068D-10 2.487D-11 9.342D-12 3.830D-12 1.572D-12
   5.0    4.500D-12 5.962D-12 9.664D-12 1.907D-11 8.455D-11 0.000D+00 9.774D-11 2.285D-11 8.079D-12 3.231D-12
   6.0    1.421D-12 1.729D-12 2.846D-12 5.510D-12 1.392D-11 6.907D-11 0.000D+00 8.815D-11 2.080D-11 7.048D-12
   7.0    3.903D-13 4.923D-13 7.457D-13 1.471D-12 3.340D-12 1.031D-11 5.629D-11 0.000D+00 7.994D-11 1.971D-11
   8.0    9.276D-14 1.169D-13 1.829D-13 3.409D-13 7.980D-13 2.125D-12 7.742D-12 4.659D-11 0.000D+00 7.341D-11
   9.0    2.365D-14 2.926D-14 4.461D-14 8.073D-14 1.755D-13 4.555D-13 1.406D-12 6.156D-12 3.935D-11 0.000D+00

   temperature cinetique=  1460.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.881D-11 1.647D-11 9.492D-12 3.676D-12 1.556D-12 6.993D-13 3.026D-13 1.240D-13 5.963D-14
   1.0    2.165D-10 0.000D+00 1.151D-10 2.693D-11 1.363D-11 5.651D-12 2.331D-12 1.046D-12 4.284D-13 2.021D-13
   2.0    6.329D-11 1.610D-10 0.000D+00 1.191D-10 2.793D-11 1.275D-11 5.339D-12 2.203D-12 9.324D-13 4.287D-13
   3.0    3.932D-11 4.061D-11 1.284D-10 0.000D+00 1.152D-10 2.691D-11 1.107D-11 4.655D-12 1.860D-12 8.302D-13
   4.0    1.385D-11 1.869D-11 2.739D-11 1.048D-10 0.000D+00 1.078D-10 2.521D-11 9.531D-12 3.932D-12 1.628D-12
   5.0    4.672D-12 6.178D-12 9.961D-12 1.951D-11 8.586D-11 0.000D+00 9.880D-11 2.321D-11 8.261D-12 3.334D-12
   6.0    1.495D-12 1.813D-12 2.970D-12 5.710D-12 1.430D-11 7.032D-11 0.000D+00 8.922D-11 2.118D-11 7.241D-12
   7.0    4.164D-13 5.238D-13 7.891D-13 1.546D-12 3.480D-12 1.064D-11 5.744D-11 0.000D+00 8.105D-11 2.015D-11
   8.0    1.004D-13 1.262D-13 1.964D-13 3.635D-13 8.442D-13 2.226D-12 8.019D-12 4.767D-11 0.000D+00 7.463D-11
   9.0    2.613D-14 3.223D-14 4.888D-14 8.782D-14 1.893D-13 4.864D-13 1.485D-12 6.416D-12 4.041D-11 0.000D+00

   temperature cinetique=  1480.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.925D-11 1.656D-11 9.590D-12 3.731D-12 1.586D-12 7.168D-13 3.121D-13 1.286D-13 6.248D-14
   1.0    2.180D-10 0.000D+00 1.158D-10 2.716D-11 1.381D-11 5.755D-12 2.385D-12 1.077D-12 4.434D-13 2.113D-13
   2.0    6.385D-11 1.624D-10 0.000D+00 1.200D-10 2.822D-11 1.295D-11 5.451D-12 2.263D-12 9.626D-13 4.470D-13
   3.0    4.001D-11 4.120D-11 1.298D-10 0.000D+00 1.161D-10 2.723D-11 1.126D-11 4.765D-12 1.914D-12 8.626D-13
   4.0    1.423D-11 1.914D-11 2.791D-11 1.062D-10 0.000D+00 1.088D-10 2.556D-11 9.719D-12 4.033D-12 1.686D-12
   5.0    4.847D-12 6.395D-12 1.026D-11 1.995D-11 8.716D-11 0.000D+00 9.985D-11 2.357D-11 8.442D-12 3.437D-12
   6.0    1.570D-12 1.899D-12 3.096D-12 5.912D-12 1.468D-11 7.155D-11 0.000D+00 9.028D-11 2.155D-11 7.435D-12
   7.0    4.436D-13 5.564D-13 8.338D-13 1.623D-12 3.622D-12 1.096D-11 5.859D-11 0.000D+00 8.216D-11 2.059D-11
   8.0    1.084D-13 1.359D-13 2.105D-13 3.870D-13 8.919D-13 2.330D-12 8.298D-12 4.875D-11 0.000D+00 7.585D-11
   9.0    2.881D-14 3.543D-14 5.344D-14 9.534D-14 2.038D-13 5.186D-13 1.565D-12 6.680D-12 4.147D-11 0.000D+00

   temperature cinetique=  1500.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 7.968D-11 1.664D-11 9.687D-12 3.785D-12 1.616D-12 7.344D-13 3.218D-13 1.332D-13 6.540D-14
   1.0    2.194D-10 0.000D+00 1.165D-10 2.739D-11 1.398D-11 5.859D-12 2.440D-12 1.108D-12 4.586D-13 2.209D-13
   2.0    6.440D-11 1.637D-10 0.000D+00 1.208D-10 2.851D-11 1.314D-11 5.563D-12 2.322D-12 9.930D-13 4.658D-13
   3.0    4.070D-11 4.178D-11 1.311D-10 0.000D+00 1.171D-10 2.755D-11 1.146D-11 4.874D-12 1.969D-12 8.957D-13
   4.0    1.460D-11 1.959D-11 2.842D-11 1.075D-10 0.000D+00 1.097D-10 2.590D-11 9.906D-12 4.135D-12 1.744D-12
   5.0    5.024D-12 6.614D-12 1.056D-11 2.039D-11 8.845D-11 0.000D+00 1.009D-10 2.393D-11 8.624D-12 3.542D-12
   6.0    1.647D-12 1.987D-12 3.224D-12 6.117D-12 1.505D-11 7.278D-11 0.000D+00 9.133D-11 2.192D-11 7.631D-12
   7.0    4.719D-13 5.902D-13 8.800D-13 1.702D-12 3.766D-12 1.129D-11 5.972D-11 0.000D+00 8.326D-11 2.103D-11
   8.0    1.169D-13 1.462D-13 2.252D-13 4.114D-13 9.410D-13 2.435D-12 8.580D-12 4.984D-11 0.000D+00 7.707D-11
   9.0    3.169D-14 3.886D-14 5.832D-14 1.033D-13 2.190D-13 5.520D-13 1.649D-12 6.949D-12 4.254D-11 0.000D+00

   temperature cinetique=  1520.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.011D-11 1.672D-11 9.783D-12 3.839D-12 1.646D-12 7.521D-13 3.315D-13 1.378D-13 6.840D-14
   1.0    2.209D-10 0.000D+00 1.172D-10 2.761D-11 1.416D-11 5.962D-12 2.494D-12 1.140D-12 4.740D-13 2.306D-13
   2.0    6.494D-11 1.651D-10 0.000D+00 1.216D-10 2.879D-11 1.334D-11 5.675D-12 2.382D-12 1.024D-12 4.849D-13
   3.0    4.137D-11 4.235D-11 1.325D-10 0.000D+00 1.180D-10 2.787D-11 1.165D-11 4.985D-12 2.024D-12 9.293D-13
   4.0    1.498D-11 2.004D-11 2.893D-11 1.088D-10 0.000D+00 1.107D-10 2.623D-11 1.009D-11 4.238D-12 1.803D-12
   5.0    5.202D-12 6.836D-12 1.086D-11 2.083D-11 8.972D-11 0.000D+00 1.019D-10 2.428D-11 8.805D-12 3.648D-12
   6.0    1.726D-12 2.076D-12 3.355D-12 6.323D-12 1.543D-11 7.400D-11 0.000D+00 9.237D-11 2.229D-11 7.827D-12
   7.0    5.013D-13 6.252D-13 9.275D-13 1.782D-12 3.913D-12 1.161D-11 6.086D-11 0.000D+00 8.436D-11 2.148D-11
   8.0    1.258D-13 1.569D-13 2.406D-13 4.367D-13 9.916D-13 2.542D-12 8.865D-12 5.092D-11 0.000D+00 7.828D-11
   9.0    3.478D-14 4.253D-14 6.350D-14 1.117D-13 2.350D-13 5.868D-13 1.734D-12 7.221D-12 4.361D-11 0.000D+00

   temperature cinetique=  1540.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.054D-11 1.681D-11 9.878D-12 3.892D-12 1.676D-12 7.697D-13 3.413D-13 1.426D-13 7.148D-14
   1.0    2.223D-10 0.000D+00 1.179D-10 2.783D-11 1.434D-11 6.065D-12 2.549D-12 1.172D-12 4.896D-13 2.406D-13
   2.0    6.548D-11 1.664D-10 0.000D+00 1.224D-10 2.907D-11 1.354D-11 5.787D-12 2.442D-12 1.055D-12 5.045D-13
   3.0    4.205D-11 4.292D-11 1.338D-10 0.000D+00 1.189D-10 2.818D-11 1.185D-11 5.095D-12 2.079D-12 9.636D-13
   4.0    1.535D-11 2.048D-11 2.943D-11 1.101D-10 0.000D+00 1.117D-10 2.657D-11 1.028D-11 4.341D-12 1.863D-12
   5.0    5.383D-12 7.060D-12 1.116D-11 2.127D-11 9.099D-11 0.000D+00 1.029D-10 2.463D-11 8.987D-12 3.755D-12
   6.0    1.807D-12 2.168D-12 3.487D-12 6.532D-12 1.581D-11 7.521D-11 0.000D+00 9.340D-11 2.266D-11 8.025D-12
   7.0    5.317D-13 6.614D-13 9.765D-13 1.865D-12 4.061D-12 1.194D-11 6.199D-11 0.000D+00 8.544D-11 2.192D-11
   8.0    1.352D-13 1.682D-13 2.567D-13 4.630D-13 1.044D-12 2.652D-12 9.151D-12 5.200D-11 0.000D+00 7.949D-11
   9.0    3.810D-14 4.645D-14 6.902D-14 1.206D-13 2.518D-13 6.229D-13 1.822D-12 7.498D-12 4.469D-11 0.000D+00

   temperature cinetique=  1560.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.096D-11 1.689D-11 9.971D-12 3.946D-12 1.705D-12 7.874D-13 3.512D-13 1.474D-13 7.463D-14
   1.0    2.237D-10 0.000D+00 1.186D-10 2.804D-11 1.451D-11 6.167D-12 2.603D-12 1.204D-12 5.054D-13 2.508D-13
   2.0    6.601D-11 1.678D-10 0.000D+00 1.232D-10 2.935D-11 1.373D-11 5.899D-12 2.502D-12 1.086D-12 5.245D-13
   3.0    4.272D-11 4.348D-11 1.351D-10 0.000D+00 1.198D-10 2.849D-11 1.204D-11 5.205D-12 2.135D-12 9.984D-13
   4.0    1.573D-11 2.093D-11 2.993D-11 1.114D-10 0.000D+00 1.126D-10 2.690D-11 1.047D-11 4.444D-12 1.923D-12
   5.0    5.566D-12 7.285D-12 1.147D-11 2.170D-11 9.225D-11 0.000D+00 1.039D-10 2.498D-11 9.168D-12 3.863D-12
   6.0    1.889D-12 2.261D-12 3.622D-12 6.742D-12 1.619D-11 7.642D-11 0.000D+00 9.442D-11 2.303D-11 8.224D-12
   7.0    5.633D-13 6.988D-13 1.027D-12 1.949D-12 4.212D-12 1.227D-11 6.311D-11 0.000D+00 8.652D-11 2.236D-11
   8.0    1.450D-13 1.799D-13 2.734D-13 4.902D-13 1.097D-12 2.764D-12 9.441D-12 5.307D-11 0.000D+00 8.069D-11
   9.0    4.164D-14 5.064D-14 7.488D-14 1.300D-13 2.693D-13 6.604D-13 1.912D-12 7.780D-12 4.577D-11 0.000D+00

   temperature cinetique=  1580.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.137D-11 1.697D-11 1.006D-11 3.998D-12 1.735D-12 8.051D-13 3.612D-13 1.522D-13 7.786D-14
   1.0    2.251D-10 0.000D+00 1.193D-10 2.826D-11 1.468D-11 6.269D-12 2.658D-12 1.236D-12 5.213D-13 2.612D-13
   2.0    6.652D-11 1.691D-10 0.000D+00 1.240D-10 2.963D-11 1.393D-11 6.010D-12 2.563D-12 1.118D-12 5.448D-13
   3.0    4.338D-11 4.404D-11 1.364D-10 0.000D+00 1.206D-10 2.880D-11 1.223D-11 5.316D-12 2.190D-12 1.034D-12
   4.0    1.610D-11 2.138D-11 3.043D-11 1.127D-10 0.000D+00 1.136D-10 2.722D-11 1.065D-11 4.548D-12 1.985D-12
   5.0    5.750D-12 7.513D-12 1.177D-11 2.214D-11 9.349D-11 0.000D+00 1.049D-10 2.532D-11 9.350D-12 3.972D-12
   6.0    1.974D-12 2.356D-12 3.758D-12 6.955D-12 1.657D-11 7.761D-11 0.000D+00 9.543D-11 2.339D-11 8.424D-12
   7.0    5.959D-13 7.374D-13 1.078D-12 2.035D-12 4.365D-12 1.261D-11 6.423D-11 0.000D+00 8.759D-11 2.281D-11
   8.0    1.553D-13 1.922D-13 2.908D-13 5.182D-13 1.152D-12 2.877D-12 9.732D-12 5.415D-11 0.000D+00 8.189D-11
   9.0    4.543D-14 5.510D-14 8.108D-14 1.399D-13 2.876D-13 6.991D-13 2.005D-12 8.065D-12 4.685D-11 0.000D+00

   temperature cinetique=  1600.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.178D-11 1.705D-11 1.015D-11 4.051D-12 1.764D-12 8.229D-13 3.712D-13 1.572D-13 8.116D-14
   1.0    2.264D-10 0.000D+00 1.199D-10 2.847D-11 1.485D-11 6.371D-12 2.712D-12 1.269D-12 5.375D-13 2.719D-13
   2.0    6.703D-11 1.704D-10 0.000D+00 1.248D-10 2.990D-11 1.412D-11 6.121D-12 2.623D-12 1.150D-12 5.656D-13
   3.0    4.404D-11 4.459D-11 1.376D-10 0.000D+00 1.215D-10 2.910D-11 1.242D-11 5.427D-12 2.247D-12 1.070D-12
   4.0    1.648D-11 2.182D-11 3.092D-11 1.139D-10 0.000D+00 1.145D-10 2.755D-11 1.084D-11 4.652D-12 2.047D-12
   5.0    5.936D-12 7.742D-12 1.208D-11 2.257D-11 9.473D-11 0.000D+00 1.059D-10 2.567D-11 9.531D-12 4.081D-12
   6.0    2.060D-12 2.452D-12 3.896D-12 7.169D-12 1.695D-11 7.880D-11 0.000D+00 9.643D-11 2.375D-11 8.625D-12
   7.0    6.296D-13 7.771D-13 1.131D-12 2.122D-12 4.519D-12 1.294D-11 6.534D-11 0.000D+00 8.865D-11 2.325D-11
   8.0    1.660D-13 2.051D-13 3.089D-13 5.472D-13 1.208D-12 2.993D-12 1.003D-11 5.522D-11 0.000D+00 8.309D-11
   9.0    4.946D-14 5.984D-14 8.765D-14 1.503D-13 3.067D-13 7.393D-13 2.100D-12 8.354D-12 4.793D-11 0.000D+00

   temperature cinetique=  1620.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.219D-11 1.712D-11 1.025D-11 4.102D-12 1.793D-12 8.407D-13 3.814D-13 1.621D-13 8.454D-14
   1.0    2.278D-10 0.000D+00 1.206D-10 2.867D-11 1.502D-11 6.472D-12 2.767D-12 1.301D-12 5.538D-13 2.828D-13
   2.0    6.753D-11 1.716D-10 0.000D+00 1.256D-10 3.017D-11 1.431D-11 6.232D-12 2.684D-12 1.182D-12 5.868D-13
   3.0    4.470D-11 4.514D-11 1.389D-10 0.000D+00 1.224D-10 2.940D-11 1.261D-11 5.538D-12 2.303D-12 1.106D-12
   4.0    1.685D-11 2.227D-11 3.142D-11 1.152D-10 0.000D+00 1.154D-10 2.787D-11 1.102D-11 4.756D-12 2.110D-12
   5.0    6.123D-12 7.973D-12 1.239D-11 2.301D-11 9.595D-11 0.000D+00 1.069D-10 2.601D-11 9.712D-12 4.192D-12
   6.0    2.148D-12 2.550D-12 4.037D-12 7.384D-12 1.733D-11 7.999D-11 0.000D+00 9.743D-11 2.411D-11 8.827D-12
   7.0    6.645D-13 8.181D-13 1.186D-12 2.211D-12 4.676D-12 1.327D-11 6.645D-11 0.000D+00 8.970D-11 2.369D-11
   8.0    1.773D-13 2.185D-13 3.277D-13 5.772D-13 1.266D-12 3.110D-12 1.032D-11 5.629D-11 0.000D+00 8.428D-11
   9.0    5.376D-14 6.487D-14 9.460D-14 1.612D-13 3.267D-13 7.808D-13 2.197D-12 8.647D-12 4.902D-11 0.000D+00

   temperature cinetique=  1640.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.259D-11 1.720D-11 1.033D-11 4.154D-12 1.823D-12 8.584D-13 3.916D-13 1.672D-13 8.800D-14
   1.0    2.291D-10 0.000D+00 1.213D-10 2.888D-11 1.519D-11 6.573D-12 2.821D-12 1.334D-12 5.702D-13 2.939D-13
   2.0    6.802D-11 1.729D-10 0.000D+00 1.263D-10 3.043D-11 1.450D-11 6.343D-12 2.746D-12 1.215D-12 6.083D-13
   3.0    4.535D-11 4.568D-11 1.402D-10 0.000D+00 1.232D-10 2.970D-11 1.280D-11 5.648D-12 2.360D-12 1.143D-12
   4.0    1.723D-11 2.271D-11 3.191D-11 1.164D-10 0.000D+00 1.164D-10 2.819D-11 1.121D-11 4.860D-12 2.174D-12
   5.0    6.312D-12 8.205D-12 1.269D-11 2.344D-11 9.717D-11 0.000D+00 1.079D-10 2.634D-11 9.893D-12 4.304D-12
   6.0    2.237D-12 2.650D-12 4.179D-12 7.602D-12 1.771D-11 8.116D-11 0.000D+00 9.841D-11 2.447D-11 9.029D-12
   7.0    7.004D-13 8.603D-13 1.242D-12 2.302D-12 4.834D-12 1.361D-11 6.755D-11 0.000D+00 9.075D-11 2.414D-11
   8.0    1.890D-13 2.324D-13 3.471D-13 6.080D-13 1.325D-12 3.230D-12 1.062D-11 5.736D-11 0.000D+00 8.546D-11
   9.0    5.832D-14 7.021D-14 1.019D-13 1.727D-13 3.474D-13 8.236D-13 2.297D-12 8.943D-12 5.010D-11 0.000D+00

   temperature cinetique=  1660.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.298D-11 1.727D-11 1.042D-11 4.205D-12 1.852D-12 8.762D-13 4.019D-13 1.723D-13 9.153D-14
   1.0    2.304D-10 0.000D+00 1.219D-10 2.908D-11 1.536D-11 6.673D-12 2.876D-12 1.367D-12 5.869D-13 3.052D-13
   2.0    6.851D-11 1.742D-10 0.000D+00 1.271D-10 3.069D-11 1.469D-11 6.454D-12 2.807D-12 1.247D-12 6.303D-13
   3.0    4.600D-11 4.621D-11 1.414D-10 0.000D+00 1.241D-10 2.999D-11 1.299D-11 5.759D-12 2.417D-12 1.181D-12
   4.0    1.760D-11 2.315D-11 3.239D-11 1.177D-10 0.000D+00 1.173D-10 2.851D-11 1.139D-11 4.965D-12 2.238D-12
   5.0    6.502D-12 8.439D-12 1.300D-11 2.387D-11 9.837D-11 0.000D+00 1.088D-10 2.668D-11 1.007D-11 4.416D-12
   6.0    2.328D-12 2.751D-12 4.323D-12 7.820D-12 1.809D-11 8.233D-11 0.000D+00 9.938D-11 2.483D-11 9.233D-12
   7.0    7.374D-13 9.037D-13 1.299D-12 2.395D-12 4.994D-12 1.394D-11 6.865D-11 0.000D+00 9.179D-11 2.458D-11
   8.0    2.012D-13 2.469D-13 3.673D-13 6.398D-13 1.385D-12 3.351D-12 1.092D-11 5.843D-11 0.000D+00 8.665D-11
   9.0    6.317D-14 7.586D-14 1.096D-13 1.847D-13 3.690D-13 8.678D-13 2.398D-12 9.244D-12 5.119D-11 0.000D+00

   temperature cinetique=  1680.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.338D-11 1.734D-11 1.051D-11 4.256D-12 1.880D-12 8.940D-13 4.122D-13 1.774D-13 9.514D-14
   1.0    2.317D-10 0.000D+00 1.225D-10 2.928D-11 1.552D-11 6.773D-12 2.930D-12 1.401D-12 6.037D-13 3.168D-13
   2.0    6.899D-11 1.754D-10 0.000D+00 1.278D-10 3.095D-11 1.488D-11 6.565D-12 2.869D-12 1.280D-12 6.526D-13
   3.0    4.664D-11 4.674D-11 1.426D-10 0.000D+00 1.249D-10 3.028D-11 1.318D-11 5.870D-12 2.475D-12 1.219D-12
   4.0    1.798D-11 2.359D-11 3.287D-11 1.189D-10 0.000D+00 1.182D-10 2.882D-11 1.158D-11 5.070D-12 2.304D-12
   5.0    6.694D-12 8.675D-12 1.331D-11 2.429D-11 9.957D-11 0.000D+00 1.098D-10 2.701D-11 1.025D-11 4.530D-12
   6.0    2.421D-12 2.854D-12 4.468D-12 8.041D-12 1.847D-11 8.349D-11 0.000D+00 1.003D-10 2.519D-11 9.437D-12
   7.0    7.756D-13 9.482D-13 1.357D-12 2.489D-12 5.156D-12 1.428D-11 6.974D-11 0.000D+00 9.282D-11 2.502D-11
   8.0    2.139D-13 2.619D-13 3.881D-13 6.725D-13 1.447D-12 3.474D-12 1.122D-11 5.949D-11 0.000D+00 8.782D-11
   9.0    6.830D-14 8.183D-14 1.178D-13 1.973D-13 3.915D-13 9.135D-13 2.502D-12 9.548D-12 5.228D-11 0.000D+00

   temperature cinetique=  1700.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.376D-11 1.741D-11 1.060D-11 4.306D-12 1.909D-12 9.119D-13 4.226D-13 1.826D-13 9.882D-14
   1.0    2.330D-10 0.000D+00 1.232D-10 2.947D-11 1.568D-11 6.872D-12 2.985D-12 1.434D-12 6.206D-13 3.286D-13
   2.0    6.946D-11 1.766D-10 0.000D+00 1.286D-10 3.121D-11 1.506D-11 6.675D-12 2.931D-12 1.314D-12 6.753D-13
   3.0    4.727D-11 4.727D-11 1.438D-10 0.000D+00 1.257D-10 3.057D-11 1.336D-11 5.982D-12 2.532D-12 1.258D-12
   4.0    1.835D-11 2.403D-11 3.335D-11 1.201D-10 0.000D+00 1.190D-10 2.913D-11 1.176D-11 5.176D-12 2.369D-12
   5.0    6.887D-12 8.911D-12 1.362D-11 2.472D-11 1.008D-10 0.000D+00 1.107D-10 2.734D-11 1.043D-11 4.644D-12
   6.0    2.515D-12 2.959D-12 4.615D-12 8.262D-12 1.885D-11 8.464D-11 0.000D+00 1.013D-10 2.554D-11 9.642D-12
   7.0    8.148D-13 9.940D-13 1.417D-12 2.585D-12 5.319D-12 1.461D-11 7.083D-11 0.000D+00 9.384D-11 2.547D-11
   8.0    2.271D-13 2.776D-13 4.097D-13 7.062D-13 1.511D-12 3.599D-12 1.152D-11 6.055D-11 0.000D+00 8.900D-11
   9.0    7.373D-14 8.813D-14 1.263D-13 2.104D-13 4.148D-13 9.604D-13 2.609D-12 9.855D-12 5.337D-11 0.000D+00

   temperature cinetique=  1720.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.415D-11 1.748D-11 1.068D-11 4.356D-12 1.938D-12 9.297D-13 4.331D-13 1.878D-13 1.026D-13
   1.0    2.343D-10 0.000D+00 1.238D-10 2.967D-11 1.585D-11 6.971D-12 3.039D-12 1.468D-12 6.378D-13 3.406D-13
   2.0    6.992D-11 1.778D-10 0.000D+00 1.293D-10 3.146D-11 1.525D-11 6.785D-12 2.993D-12 1.347D-12 6.984D-13
   3.0    4.790D-11 4.778D-11 1.450D-10 0.000D+00 1.265D-10 3.086D-11 1.355D-11 6.093D-12 2.590D-12 1.297D-12
   4.0    1.873D-11 2.447D-11 3.383D-11 1.213D-10 0.000D+00 1.199D-10 2.944D-11 1.194D-11 5.281D-12 2.436D-12
   5.0    7.082D-12 9.149D-12 1.393D-11 2.514D-11 1.019D-10 0.000D+00 1.116D-10 2.767D-11 1.062D-11 4.759D-12
   6.0    2.610D-12 3.065D-12 4.764D-12 8.485D-12 1.923D-11 8.579D-11 0.000D+00 1.023D-10 2.589D-11 9.848D-12
   7.0    8.551D-13 1.041D-12 1.478D-12 2.683D-12 5.484D-12 1.495D-11 7.191D-11 0.000D+00 9.486D-11 2.591D-11
   8.0    2.409D-13 2.938D-13 4.320D-13 7.408D-13 1.575D-12 3.725D-12 1.182D-11 6.161D-11 0.000D+00 9.016D-11
   9.0    7.947D-14 9.478D-14 1.353D-13 2.241D-13 4.390D-13 1.009D-12 2.717D-12 1.017D-11 5.447D-11 0.000D+00

   temperature cinetique=  1740.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
   0.0    0.000D+00 8.453D-11 1.755D-11 1.077D-11 4.405D-12 1.966D-12 9.475D-13 4.436D-13 1.931D-13 1.064D-13
   1.0    2.355D-10 0.000D+00 1.244D-10 2.986D-11 1.601D-11 7.069D-12 3.093D-12 1.501D-12 6.550D-13 3.529D-13
   2.0    7.037D-11 1.790D-10 0.000D+00 1.300D-10 3.172D-11 1.543D-11 6.895D-12 3.055D-12 1.381D-12 7.218D-13
   3.0    4.853D-11 4.830D-11 1.462D-10 0.000D+00 1.273D-10 3.114D-11 1.374D-11 6.204D-12 2.649D-12 1.337D-12
   4.0    1.910D-11 2.491D-11 3.430D-11 1.225D-10 0.000D+00 1.208D-10 2.974D-11 1.212D-11 5.387D-12 2.503D-12
   5.0    7.277D-12 9.388D-12 1.425D-11 2.557D-11 1.031D-10 0.000D+00 1.126D-10 2.800D-11 1.079D-11 4.875D-12
   6.0    2.708D-12 3.172D-12 4.915D-12 8.710D-12 1.960D-11 8.692D-11 0.000D+00 1.032D-10 2.624D-11 1.005D-11
   7.0    8.966D-13 1.089D-12 1.540D-12 2.782D-12 5.651D-12 1.529D-11 7.298D-11 0.000D+00 9.587D-11 2.635D-11
   8.0    2.552D-13 3.105D-13 4.550D-13 7.762D-13 1.641D-12 3.853D-12 1.213D-11 6.266D-11 0.000D+00 9.133D-11
   9.0    8.552D-14 1.018D-13 1.447D-13 2.384D-13 4.640D-13 1.059D-12 2.828D-12 1.048D-11 5.556D-11 0.000D+00

   temperature cinetique=  1760.000 degres kelvin 

   jf / ji  0.0       1.0       2.0       3.0       4.0       5.0       6.0       7.0       8.0        9.0
